№ п/п,Страна,Всего случаев,Всего смертей,% смертей по случ.,Случаев /1M pop,Смертей /1M pop,Сделано тестов,% случаев по тестам,Тестов /1М pop,Население
1,США,1 725 275,100 572,"5,83",5 215,304,15532 159,"11,11",46 951,330 817 010
2,Бразилия,392 360,24 549,"6,26",1 847,116,871 839,45,4 104,212 413 908
3,Россия,362 342,3 807,"1,05",2 483,26,9 160 590,"3,96",62 774,145 928 655
4,Испания,283 339,27 117,"9,57",6 060,580,3 556 567,"7,97",76 071,46 753 098
5,Великобритания,265 227,37 048,"13,97",3 909,546,3 681 295,"7,2",54 255,67 852 019
6,Италия,230 555,32 955,"14,29",3 813,545,3 539 927,"6,51",58 540,60 469 988
7,Франция,182 722,28 530,"15,61",2 800,437,1 384 633,"13,2",21 217,65 259 974
8,Германия,181 288,8 498,"4,69",2 164,101,3 595 059,"5,04",42 922,83 758 696
9,Турция,158 762,4 397,"2,77",1 884,52,1 873 607,"8,47",22 239,84 249 900
10,Индия,150 793,4 344,"2,88",109,3,3 126 119,"4,82",2 267,1378678 095
11,Иран,139 511,7 508,"5,38",1 663,90,837 090,"16,67",9 979,83 886 140
12,Перу,129 751,3 788,"2,92",3 941,115,875 721,"14,82",26 597,32 925 941
13,Канада,86 647,6 639,"7,66",2 298,176,1 502 990,"5,76",39 857,37 709 994
15,Чили,77 961,806,"1,03",4 082,42,501 125,"15,56",26 237,19 100 270
16,Саудовская Аравия,76 726,411,"0,54",2 207,12,738 743,"10,39",21 253,34 759 189
17,Мексика,71 105,7 633,"10,73",552,59,225 650,"31,51",1 752,128 799 843
18,Пакистан,57 705,1 197,"2,07",262,5,490 908,"11,75",2 227,220 450 694
19,Бельгия,57 455,9 334,"16,25",4 959,806,795 447,"7,22",68 663,11 584 839
20,Катар,47 207,28,"0,06",16 413,10,196 411,"24,03",68 290,2 876 111
21,Нидерланды,45 578,5 856,"12,85",2 661,342,324 918,"14,03",18 966,17 131 319
22,Беларусь,38 059,208,"0,55",4 028,22,472 906,"8,05",50 045,9 449 610
23,Эквадор,37 355,3 203,"8,57",2 121,182,106 554,"35,06",6 049,17 616 090
24,Бангладеш,36 751,522,"1,42",223,3,258 550,"14,21",1 571,164 528 877
25,Швеция,34 440,4 125,"11,98",3 412,409,238 800,"14,42",23 659,10 093 230
26,Сингапур,32 343,23,"0,07",5 533,4,294 414,"10,99",50 363,5 845 893
27,ОАЭ,31 086,253,"0,81",3 147,26,2 072 493,"1,5",209 797,9 878 576
28,Португалия,31 007,1 342,"4,33",3 040,132,689 705,"4,5",67 622,10 199 416
29,Швейцария,30 761,1 915,"6,23",3 557,221,375 115,"8,2",43 373,8 648 520
30,Ирландия,24 735,1 615,"6,53",5 015,327,325 795,"7,59",66 053,4 932 355
31,Южная Африка,24 264,524,"2,16",410,9,605 991,4,10 230,59 234 476
32,Индонезия,23 165,1 418,"6,12",85,5,264 098,"8,77",967,273 239 726
33,Колумбия,23 003,776,"3,37",453,15,260 812,"8,82",5 131,50 829 634
34,Кувейт,22 575,172,"0,76",5 294,40,276 207,"8,17",64 773,4 264 228
35,Польша,22 074,1 024,"4,64",583,27,801 753,"2,75",21 182,37 850 425
36,Украина,21 584,644,"2,98",493,15,301 736,"7,15",6 896,43 757 273
37,Египет,18 756,797,"4,25",184,8,135 000,"13,89",1 322,102 136 256
38,Румыния,18 429,1 216,"6,6",957,63,385 728,"4,78",20 039,19 249 131
39,Израиль,16 757,281,"1,68",1 822,31,545 761,"3,07",59 337,9 197 590
40,Япония,16 623,846,"5,09",131,7,276 170,"6,02",2 183,126 511 690
41,Австрия,16 557,643,"3,88",1 839,71,411 185,"4,03",45 680,9 001 487
42,Доминиканская Рес.,15 264,468,"3,07",1 408,43,69 608,"21,93",6 423,10 837 265
43,Филиппины,14 669,886,"6,04",134,8,307 434,"4,77",2 809,109 435 773
44,Аргентина,13 228,484,"3,66",293,11,136 662,"9,68",3 026,45 155 378
45,Афганистан,11 831,220,"1,86",305,6,32 870,"35,99",846,38 836 559
46,Панама,11 447,313,"2,73",2 657,73,60 598,"18,89",14 067,4 307 910
47,Дания,11 428,563,"4,93",1 974,97,559 454,"2,04",96 620,5 790 276
48,Сербия,11 227,239,"2,13",1 284,27,223 771,"5,02",25 601,8 740 556
49,Южная Корея,11 225,269,"2,4",219,5,839 475,"1,34",16 375,51 265 081
50,Бахрейн,9 366,14,"0,15",5 526,8,286 223,"3,27",168 866,1 694 967
51,Чехия,9 050,317,"3,5",845,30,410 777,"2,2",38 365,10 707 123
52,Казахстан,8 969,37,"0,41",478,2,687 249,"1,31",36 644,18 754 495
54,Норвегия,8 383,235,"2,8",1 547,43,236 666,"3,54",43 688,5 417 143
55,Нигерия,8 344,249,"2,98",41,1,44 458,"18,77",216,205 598 175
56,Оман,8 118,37,"0,46",1 594,7,72 000,"11,28",14 138,5 092 816
57,Малайзия,7 604,115,"1,51",235,4,519 944,"1,46",16 085,32 324 797
